"","ZEIT","182","183","184","185","281","282","283","284","285","286","287","288","289","290","291","292","352","353","354","355","368","369","370","371","388","389","390","391","392","393","394","395","396","397","417","418","420","421","422","423","491","492","493","494","495","496","497","498","499","500","501","502","503","504","505","506","507","508","509","510","511","512","513","514","769","770","909","910","911","912","913","914","915","916","921","922","923","924","925","926","1076","1077","1078","1079","1080","1081","1082","1083","1084","1085","1086","1087","1088","1089","1090","1091","1092","1093","1094","1117","1118","1119","1128","1129","1130","1131","1132","1133","1134","1135","1136","1137","1138","1139","1140","1141","1142","1143","1144","1178","1179","1180","1181","1182","1183","1184","1185"
"5367","2015-07-04 17:26:00",3,2,4,2,6,5,11,0,8,9,2,2,6,9,7,10,14,6,15,15,7,13,0,1,14,8,11,7,5,5,7,2,3,0,11,9,8,3,2,2,5,2,2,3,7,2,12,3,7,6,6,3,3,4,2,2,4,3,9,2,6,4,11,6,4,1,9,10,10,6,0,0,6,2,13,0,16,14,12,11,3,1,3,3,5,3,0,1,0,5,2,8,2,7,0,16,4,2,5,6,2,10,3,11,5,5,4,11,6,7,2,5,8,18,8,10,2,9,6,5,3,7,0,4,3,2,2
"5368","2015-07-04 17:27:00",0,2,4,5,6,1,1,0,12,8,14,11,7,7,8,4,8,4,3,1,14,2,10,0,5,5,7,1,5,7,6,3,6,2,8,6,2,2,4,3,10,6,8,9,10,10,3,2,4,1,0,0,5,2,3,9,2,7,11,2,11,11,4,5,13,2,3,3,1,1,6,6,5,5,2,0,7,10,8,14,4,4,7,3,5,0,6,2,3,4,0,8,1,7,1,10,8,4,9,3,1,7,1,4,2,13,6,4,1,4,3,0,2,9,9,9,5,8,9,5,3,7,2,7,6,3,1
"5369","2015-07-04 17:28:00",10,7,1,3,5,4,7,0,3,1,3,4,16,18,10,14,13,8,10,11,4,11,0,0,8,5,17,9,7,3,5,1,1,1,8,11,3,1,7,4,2,0,5,8,8,1,4,4,5,4,8,5,1,4,4,7,3,4,5,0,9,10,4,7,6,3,2,0,11,5,2,2,7,4,12,2,9,6,6,2,6,1,2,5,5,1,3,2,2,7,2,3,2,5,0,14,10,3,2,4,0,8,8,11,7,7,3,7,2,3,2,4,6,6,8,1,0,2,1,3,5,2,1,6,6,4,2
"5370","2015-07-04 17:29:00",4,3,3,1,7,2,15,0,13,9,10,10,6,9,11,10,11,4,6,6,14,2,16,0,13,3,15,2,11,3,3,2,5,0,7,8,10,4,6,2,2,0,0,0,10,2,14,7,11,5,1,2,3,3,7,7,3,1,7,0,5,5,3,3,5,1,8,6,5,3,3,6,6,3,2,0,2,12,4,8,1,2,1,0,0,0,0,5,0,4,0,3,0,3,1,14,6,5,5,3,0,12,2,3,0,5,5,13,6,5,1,8,10,12,7,10,9,4,3,7,3,2,3,5,4,1,0
"5371","2015-07-04 17:30:00",0,0,6,2,7,4,4,0,6,7,5,5,16,16,8,6,1,0,15,7,5,5,0,1,3,2,6,2,7,5,5,4,3,3,7,10,0,2,1,0,11,7,3,5,3,4,13,4,1,5,0,0,5,4,4,4,1,2,2,0,14,14,13,11,12,4,2,1,2,1,6,6,10,3,26,1,3,7,6,9,2,2,4,3,6,3,6,4,3,1,0,8,2,7,2,18,0,5,10,3,0,5,7,11,4,7,3,7,4,4,2,6,5,8,7,3,3,10,8,2,3,4,1,3,1,3,0
"5372","2015-07-04 17:31:00",3,4,2,3,1,5,5,0,6,7,2,0,5,5,10,12,11,12,9,7,16,9,15,0,18,11,15,6,9,5,3,4,4,0,5,11,5,5,3,3,3,3,11,11,5,0,6,1,0,0,4,2,3,4,4,3,5,2,18,2,5,5,2,3,2,1,5,3,4,2,0,1,3,1,2,0,8,9,2,12,4,0,6,1,0,0,1,4,0,5,2,4,0,11,4,6,17,1,9,3,1,8,3,6,1,8,2,6,3,2,1,6,9,7,10,5,4,4,3,4,5,2,3,8,2,3,1
"5373","2015-07-04 17:32:00",2,1,2,4,4,2,5,0,14,10,15,11,19,20,4,11,3,6,1,3,7,5,0,0,1,3,5,3,10,8,6,1,11,7,12,14,0,0,2,1,13,5,4,2,4,8,9,8,11,8,0,3,6,4,0,4,9,5,7,2,9,10,14,2,10,1,1,1,1,0,7,10,9,1,13,5,0,6,5,7,6,4,1,0,4,4,1,3,2,10,1,7,0,10,0,18,15,11,4,4,1,18,1,10,10,8,1,4,5,10,8,1,6,8,14,8,6,8,8,6,1,2,5,4,4,1,3
"5374","2015-07-04 17:33:00",2,7,3,1,5,5,0,0,2,3,3,4,2,6,10,4,13,3,25,15,19,3,15,0,5,3,9,2,9,5,3,2,1,1,12,4,8,1,7,2,6,6,9,8,5,2,13,5,1,0,6,3,6,2,1,2,0,2,10,3,12,9,9,9,12,3,3,1,11,3,0,0,5,4,6,0,4,9,5,9,1,1,2,1,2,1,2,4,0,11,3,7,0,5,2,8,19,0,6,6,0,3,9,4,5,8,3,5,2,7,4,1,2,5,13,5,5,2,3,5,2,2,0,3,1,5,0
"5375","2015-07-04 17:34:00",5,3,5,4,9,4,7,0,13,14,5,8,13,15,6,8,8,5,8,5,9,6,0,0,12,10,9,7,9,11,4,4,8,5,5,8,2,1,3,0,3,2,6,5,17,4,9,5,1,6,7,4,2,4,8,5,6,4,9,2,2,0,4,3,3,1,2,1,8,7,3,5,4,1,16,3,10,5,13,4,6,4,2,3,0,0,2,3,0,2,1,5,0,11,4,16,25,4,2,5,1,12,2,3,1,11,8,10,7,6,2,6,2,5,8,8,1,12,6,4,3,5,2,6,5,3,1
"5376","2015-07-04 17:35:00",0,0,3,4,2,2,4,0,2,5,8,9,6,4,10,14,10,2,16,15,8,5,18,0,6,7,8,5,7,4,4,3,4,1,2,10,6,1,8,6,10,7,4,3,7,3,8,4,2,1,1,1,1,6,1,2,4,3,9,2,16,6,4,8,12,4,8,2,6,3,4,5,7,3,6,3,5,5,10,16,3,2,5,2,7,3,2,2,1,6,1,5,3,6,0,15,16,2,3,6,0,5,5,9,6,7,2,7,2,6,6,3,10,5,8,6,5,11,11,6,4,2,2,3,4,3,1
